dist_x,dist_y,axis_y,vel_y,action
-4,-2,11,0,0
0,-2,23,0,0
4,2,24,5,1
-1,1,36,5,0
16,0,34,5,1
3,-2,29,0,0
-2,-1,21,4,0
9,-10,7,0,0
9,-2,35,2,0
-3,0,29,4,0
9,-6,22,2,0
3,1,27,6,1
0,1,28,5,1
7,3,21,-3,1
-4,-2,14,-3,0
7,-2,31,7,0
0,1,26,-6,0
11,-6,22,5,1
9,-1,11,-3,0
8,3,19,2,1
0,1,30,5,1
9,3,25,-3,0
12,2,25,5,1
2,1,35,6,1
2,-2,15,0,0
1,-4,30,1,0
3,2,34,7,1
-2,1,22,5,1
7,-3,24,2,0
14,-1,25,4,0
6,2,29,6,1
10,-5,27,2,0
-1,1,17,5,1
10,-6,26,-1,0
10,-4,16,1,0
10,-2,25,4,0
0,0,34,2,0
3,-1,18,-2,0
12,0,19,4,0
7,0,22,-3,0
10,8,30,2,1
11,9,35,5,1
-2,0,17,3,0
1,-1,17,-4,0
7,-2,11,-2,0
7,-4,18,3,0
1,1,27,4,1
-1,1,33,5,1
7,2,31,3,1
0,0,35,-5,0
15,1,32,4,1
6,0,14,1,0
9,3,23,-3,1
1,-1,12,-2,0
-4,0,21,5,1
10,-2,35,3,0
6,1,17,5,1
3,2,38,6,1
1,-1,32,-3,0
7,3,21,-4,0
10,-2,23,5,1
9,3,34,5,1
-1,1,16,6,1
9,1,17,5,1
3,1,15,5,0
1,-3,14,-1,0
-3,1,20,5,1
-2,1,39,5,1
11,5,33,6,1
1,1,38,5,1
2,1,18,5,1
11,2,31,5,1
-2,0,19,-6,0
1,-2,25,0,0
8,7,31,-3,1
9,4,35,5,1
10,2,32,5,1
11,8,34,4,1
7,1,27,-5,0
10,0,31,0,0
11,-2,23,5,1
1,-2,23,-1,0
3,1,36,5,1
-1,1,26,5,1
4,3,19,4,1
8,3,26,5,1
0,2,36,6,1
15,3,33,5,1
4,0,37,5,1
7,1,33,8,1
4,1,35,10,1
3,-1,24,3,0
4,1,37,6,1
5,1,22,6,1
6,1,33,7,1
6,1,33,4,1
7,-2,13,4,0
2,-2,27,-2,0
11,0,26,-1,0
-3,1,39,5,1
11,0,34,5,1
-3,0,28,4,0
-2,1,16,5,1
3,-1,30,-3,0
0,-2,20,1,0
1,-1,17,3,0
8,-2,32,-1,0
2,-2,10,-1,0
7,1,38,8,1
-4,-1,18,4,0
10,-2,33,-3,0
9,3,33,3,1
9,6,25,-4,0
2,-1,18,-1,0
-2,1,37,4,1
-1,1,20,5,1
8,7,30,-3,1
10,-7,15,5,1
7,1,18,4,1
7,-2,29,2,0
7,-2,33,4,0
6,4,31,-6,0
5,-3,32,-1,0
5,2,36,5,1
8,3,20,-2,1
-3,0,34,4,0
16,0,20,1,0
8,0,38,6,1
8,0,19,-4,1
-4,-2,34,2,0
-1,-2,12,0,0
-2,1,21,5,1
4,2,19,5,1
2,2,40,6,1
-2,0,36,-5,0
7,2,36,5,1
1,1,36,5,1
3,2,26,5,1
-3,1,34,6,1
8,1,22,-5,0
7,1,20,-6,0
6,1,39,5,1
9,-5,27,5,1
9,-8,21,4,0
8,-2,19,-4,0
1,1,18,5,1
1,-1,22,-3,0
10,-2,19,4,1
0,-2,23,2,0
10,3,23,5,1
0,1,38,5,1
-1,1,38,5,1
-3,1,15,5,1
8,-6,22,1,0
1,-1,28,-3,0
2,0,17,-4,0
-1,1,26,-6,0
-3,-2,26,2,0
7,1,37,10,1
4,3,25,4,1
0,2,28,5,1
7,1,32,4,1
5,2,39,5,1
3,-2,10,1,0
4,-2,15,-2,0
9,-3,21,0,0
7,2,18,-3,1
9,-5,13,-3,0
-2,-2,28,0,0
8,-2,26,3,0
8,-1,14,-5,0
-2,-2,21,-1,0
11,-4,14,-4,0
3,1,39,-5,0
16,-5,28,-1,0
3,2,36,5,1
9,5,34,1,1
4,2,19,4,1
10,1,33,5,1
6,-1,21,-4,0
6,-1,16,-6,0
4,0,22,4,0
2,2,41,5,1
10,7,28,5,1
4,2,40,6,1
0,1,23,4,1
9,5,29,3,1
-4,-1,35,1,0
3,2,20,6,1
-1,1,36,5,1
7,-3,22,1,0
6,1,37,-5,0
10,2,29,5,1
8,5,26,-6,0
9,0,16,-2,1
4,0,38,7,1
2,1,33,6,1
15,0,32,6,1
4,3,25,7,0
1,-2,18,-3,0
11,-1,27,2,0
-3,1,30,5,1
10,-4,24,5,1
-4,-2,12,2,0
-2,0,17,-5,0
10,-7,23,0,0
2,2,34,6,1
-3,-2,27,-2,0
-2,1,21,3,1
3,0,31,4,0
3,0,28,3,0
-4,-1,31,1,0
1,1,34,5,1
2,2,33,6,1
16,0,30,-5,0
-3,-2,22,-1,0
0,1,32,5,1
16,0,32,6,1
7,1,22,7,1
-4,1,23,5,1
0,1,26,4,1
1,-1,38,-4,0
4,2,36,6,1
4,2,32,4,1
10,0,17,-5,0
4,1,28,4,1
1,0,23,-2,0
-3,1,17,5,1
9,-7,10,1,0
-4,1,16,5,1
3,-2,16,-2,0
-1,1,19,5,1
-3,-1,32,-3,0
7,-2,26,-4,0
-4,1,40,5,1
8,1,36,8,1
12,-1,24,2,0
11,1,28,6,1
5,1,31,4,1
4,-1,30,1,0
2,1,20,5,1
0,0,21,3,0
6,-3,30,1,0
2,-1,35,-4,0
7,-2,30,-2,0
5,-3,21,-1,0
9,-2,26,5,1
5,1,23,-6,0
10,3,27,6,1
6,2,37,11,1
6,2,39,9,1
-2,1,21,5,1
-2,-1,26,-4,0
-1,1,32,5,1
4,2,31,5,1
6,-1,23,-4,0
0,-1,25,-4,0
-2,2,23,5,1
3,-1,31,1,0
6,2,36,8,1
-1,1,16,5,1
9,4,36,5,1
-2,-2,30,1,0
11,-3,32,5,1
1,2,38,6,1
8,-1,24,-3,0
4,3,38,6,1
9,-2,26,2,0
8,2,25,5,1
-1,0,16,4,0
-1,1,40,5,1
5,1,38,6,1
7,2,27,1,1
0,2,31,4,1
7,1,41,10,1
1,2,38,5,1
-4,1,16,5,1
1,-2,30,-1,0
-3,-1,34,3,0
-4,-1,14,3,0
-2,0,35,-6,0
2,1,32,6,1
9,2,34,-3,1
0,1,17,5,1
6,1,31,4,0
9,4,33,3,0
1,-2,22,-2,0
4,2,36,6,1
5,2,29,8,1
6,-1,28,-3,0
1,2,18,4,1
-1,2,29,6,1
11,11,36,4,1
1,-2,16,-2,0
6,-1,26,2,0
-2,-1,19,-4,0
9,3,33,5,1
-1,-1,32,2,0
-2,1,30,5,1
6,2,31,8,1
9,7,31,-1,1
10,5,26,5,1
6,-2,27,-3,0
3,1,40,6,1
15,0,31,-6,0
6,-1,22,-1,0
-3,1,37,5,1
10,1,35,5,1
-4,-2,15,2,0
-3,1,33,5,0
2,1,28,6,1
3,0,23,-4,0
11,1,31,5,1
2,2,39,5,1
-2,1,18,5,1
13,2,20,5,1
8,1,30,5,1
-2,0,27,4,0
4,1,22,4,0
1,0,18,-5,0
3,0,31,3,0
14,1,39,6,1
9,-3,34,5,1
16,0,36,6,0
1,1,27,5,1
11,-6,21,-3,0
10,0,20,-4,0
9,-8,22,7,0
-3,1,19,5,1
6,2,32,10,1
-4,1,20,5,1
5,1,40,6,1
0,-3,12,0,0
-1,0,32,4,0
8,1,33,7,1
5,-1,35,-6,0
0,1,24,5,1
7,4,32,-4,0
3,2,31,6,1
4,1,29,5,0
-3,1,34,5,1
10,-2,31,-3,0
13,-2,32,-2,0
11,1,29,5,1
2,1,39,5,1
-3,-2,14,1,0
-4,-1,28,-3,0
-2,1,17,6,1
9,-4,27,3,0
0,1,20,5,1
5,0,28,5,1
-2,-2,28,-1,0
6,0,30,8,1
-1,2,24,5,1
-1,1,24,5,1
3,2,34,5,1
5,3,20,7,1
2,2,22,7,1
-3,-2,19,-2,0
8,3,28,-3,1
4,2,36,9,1
9,-6,11,0,0
5,0,34,-5,0
-3,1,26,5,1
-2,-3,10,1,0
8,3,31,-3,1
5,-2,18,2,0
-4,1,35,5,1
0,1,15,4,1
-2,1,27,5,1
1,-1,14,1,0
10,-3,25,5,1
6,1,35,4,1
12,2,28,6,1
6,1,19,4,1
9,-1,35,6,0
-4,1,24,5,1
-2,0,27,-6,0
5,2,27,6,1
3,1,37,-6,0
4,2,35,6,0
14,1,38,7,1
-1,0,31,-4,0
6,0,17,-4,0
0,0,15,-5,0
7,-1,34,0,0
7,2,27,8,1
10,1,25,-5,0
4,1,22,4,1
4,-2,18,-2,0
2,-1,21,0,0
3,2,25,6,1
9,-1,22,-6,0
9,-2,28,7,0
-2,1,29,5,1
3,0,36,4,0
6,1,37,-6,0
6,2,24,5,1
7,2,25,-6,0
0,1,29,5,1
-4,1,31,5,1
0,0,23,4,0
1,-1,30,-3,0
-2,0,24,-5,0
-1,0,20,4,0
7,-2,11,1,0
-4,1,31,6,1
10,11,36,5,1
8,3,33,10,1
9,2,41,5,1
0,0,23,-5,0
3,0,38,-5,0
10,5,34,5,1
-2,1,33,5,1
-3,-2,21,1,0
-4,-1,31,-3,0
11,6,33,-5,0
4,0,26,-5,0
1,1,41,5,1
9,-5,21,-4,0
-4,-1,31,4,0
1,2,30,6,1
0,-2,13,0,0
14,-3,20,-1,0
1,-1,18,-4,0
-4,-1,21,3,0
11,0,14,5,1
1,1,29,6,1
4,0,38,6,1
8,1,39,5,1
-4,1,39,6,1
9,6,26,-2,1
-2,1,16,5,1
0,-1,28,2,0
2,0,31,-5,0
4,-1,18,3,0
3,-1,28,-2,0
-2,-1,27,-2,0
5,0,20,2,0
-2,1,30,5,1
4,2,18,4,1
2,-2,30,1,0
10,7,37,5,1
-1,2,29,6,1
0,0,18,-6,0
7,-2,22,-3,0
1,1,30,5,1
10,5,30,4,1
4,-1,30,-3,0
-2,-2,9,1,0
-1,0,14,-5,0
0,-1,27,0,0
1,1,28,5,1
4,0,29,8,1
9,-1,18,0,0
10,3,38,5,1
1,1,28,5,0
16,0,28,3,1
-2,1,21,-6,0
-4,2,27,6,1
4,1,26,5,1
-3,1,33,6,1
16,0,34,8,1
10,9,36,3,1
7,-1,30,-2,0
0,1,29,6,1
0,-2,12,1,0
5,3,42,10,1
8,-3,8,-2,0
6,1,20,6,1
11,-4,26,4,1
10,0,28,-3,0
15,-5,16,7,1
1,1,30,5,1
10,-9,9,-1,0
2,1,30,5,0
8,1,20,-2,1
-2,2,35,5,1
6,1,26,9,1
5,-1,29,-4,0
5,-2,21,-1,0
9,3,24,4,1
-4,1,28,5,1
6,1,39,6,0
11,5,35,5,1
-1,1,39,5,1
3,1,40,6,1
7,1,32,-5,0
0,1,38,5,1
9,1,28,7,1
-3,-2,31,3,0
